student_id,student_name,department,year
0,Student_000,Department_X,1
1,Student_001,Department_X,2
2,Student_002,Department_X,3
3,Student_003,Department_X,3
4,Student_004,Department_X,2
5,Student_005,Department_X,3
6,Student_006,Department_X,2
7,Student_007,Department_X,3
8,Student_008,Department_X,1
9,Student_009,Department_X,3
10,Student_010,Department_X,1
11,Student_011,Department_X,3
12,Student_012,Department_X,1
13,Student_013,Department_X,3
14,Student_014,Department_X,1
15,Student_015,Department_X,2
16,Student_016,Department_X,2
17,Student_017,Department_X,1
18,Student_018,Department_X,3
19,Student_019,Department_X,1
20,Student_020,Department_X,3
21,Student_021,Department_X,2
22,Student_022,Department_X,3
23,Student_023,Department_X,2
24,Student_024,Department_X,3
25,Student_025,Department_X,3
26,Student_026,Department_X,3
27,Student_027,Department_X,1
28,Student_028,Department_X,1
29,Student_029,Department_X,2
30,Student_030,Department_X,2
31,Student_031,Department_X,1
32,Student_032,Department_X,2
33,Student_033,Department_X,1
34,Student_034,Department_X,3
35,Student_035,Department_X,2
36,Student_036,Department_X,2
37,Student_037,Department_X,1
38,Student_038,Department_X,2
39,Student_039,Department_X,2
40,Student_040,Department_X,3
41,Student_041,Department_X,2
42,Student_042,Department_X,3
43,Student_043,Department_X,1
44,Student_044,Department_X,2
45,Student_045,Department_X,3
46,Student_046,Department_X,1
47,Student_047,Department_X,2
48,Student_048,Department_X,1
49,Student_049,Department_X,2
50,Student_050,Department_X,1
51,Student_051,Department_X,1
52,Student_052,Department_X,3
53,Student_053,Department_X,1
54,Student_054,Department_X,2
55,Student_055,Department_X,2
56,Student_056,Department_X,3
57,Student_057,Department_X,2
58,Student_058,Department_X,2
59,Student_059,Department_X,2
60,Student_060,Department_X,1
61,Student_061,Department_X,1
62,Student_062,Department_X,2
63,Student_063,Department_X,3
64,Student_064,Department_X,1
65,Student_065,Department_X,3
66,Student_066,Department_X,2
67,Student_067,Department_X,2
68,Student_068,Department_X,1
69,Student_069,Department_X,2
70,Student_070,Department_X,1
71,Student_071,Department_X,2
72,Student_072,Department_X,2
73,Student_073,Department_X,1
74,Student_074,Department_X,1
75,Student_075,Department_X,1
76,Student_076,Department_X,2
77,Student_077,Department_X,2
78,Student_078,Department_X,3
79,Student_079,Department_X,1
80,Student_080,Department_X,2
81,Student_081,Department_X,2
82,Student_082,Department_X,1
83,Student_083,Department_X,3
84,Student_084,Department_X,1
85,Student_085,Department_X,3
86,Student_086,Department_X,2
87,Student_087,Department_X,3
88,Student_088,Department_X,2
89,Student_089,Department_X,1
90,Student_090,Department_X,1
91,Student_091,Department_X,1
92,Student_092,Department_X,3
93,Student_093,Department_X,2
94,Student_094,Department_X,1
95,Student_095,Department_X,1
96,Student_096,Department_X,2
97,Student_097,Department_X,1
98,Student_098,Department_X,2
99,Student_099,Department_X,2
