student_id,student_name,year
0,Student_000,2
1,Student_001,2
2,Student_002,2
3,Student_003,2
4,Student_004,2
5,Student_005,2
6,Student_006,2
7,Student_007,2
8,Student_008,2
9,Student_009,2
10,Student_010,2
11,Student_011,2
12,Student_012,2
13,Student_013,2
14,Student_014,2
15,Student_015,2
16,Student_016,2
17,Student_017,2
18,Student_018,2
19,Student_019,2
20,Student_020,2
21,Student_021,2
22,Student_022,2
23,Student_023,2
24,Student_024,2
25,Student_025,3
26,Student_026,3
27,Student_027,3
28,Student_028,3
29,Student_029,3
30,Student_030,3
31,Student_031,3
32,Student_032,3
33,Student_033,3
34,Student_034,3
35,Student_035,3
36,Student_036,3
37,Student_037,3
38,Student_038,3
39,Student_039,3
40,Student_040,3
41,Student_041,3
42,Student_042,3
43,Student_043,3
44,Student_044,3
45,Student_045,3
46,Student_046,3
47,Student_047,3
48,Student_048,3
49,Student_049,3
