faculty_id,faculty_name,rank,department,email,invigilator_quota
0,Professor00,Professor,Department_X,professor0@university.edu,3
1,Professor01,Professor,Department_X,professor1@university.edu,3
2,Associate_Professor00,Associate Professor,Department_X,associateprofessor0@university.edu,4
3,Associate_Professor01,Associate Professor,Department_X,associateprofessor1@university.edu,4
4,Associate_Professor02,Associate Professor,Department_X,associateprofessor2@university.edu,4
5,Associate_Professor03,Associate Professor,Department_X,associateprofessor3@university.edu,4
6,Associate_Professor04,Associate Professor,Department_X,associateprofessor4@university.edu,4
7,Assistant_Professor00,Assistant Professor,Department_X,assistantprofessor0@university.edu,5
8,Assistant_Professor01,Assistant Professor,Department_X,assistantprofessor1@university.edu,5
9,Assistant_Professor02,Assistant Professor,Department_X,assistantprofessor2@university.edu,5
10,Assistant_Professor03,Assistant Professor,Department_X,assistantprofessor3@university.edu,5
11,Assistant_Professor04,Assistant Professor,Department_X,assistantprofessor4@university.edu,5
12,Assistant_Professor05,Assistant Professor,Department_X,assistantprofessor5@university.edu,5
13,Assistant_Professor06,Assistant Professor,Department_X,assistantprofessor6@university.edu,5
14,Assistant_Professor07,Assistant Professor,Department_X,assistantprofessor7@university.edu,5
